name,carbs,sugar,s_fat,discounted price,kcal,url,fat,categorys,protein,original price,salt,amount
"Braškių skonio jogurtinis gėrimas ACTIMEL, 1,5% rieb., 400 g",12.0,11.9,1.0,nan,76.0,https://www.barbora.lt/produktai/braskiu-skonio-jogurtinis-gerimas-actimel-1-5-proc-rieb-400-g,1.5,Pieno gaminiai ir kiaušiniai	Pienas	Pieno ir probiotiniai gėrimai,2.8,1.69,0.1,400
"Gl.VILKYŠKIŲ varšk.sūr.su sūr.karam.30%rieb.su mažiau cukrų, 40 g",17.7,15.4,20.7,nan,369.0,https://www.barbora.lt/produktai/gl-vilkyskiu-varsk-sur-su-sur-karam-30-procrieb-su-maziau-cukru-40-g,29.9,Pieno gaminiai ir kiaušiniai	Varškės produktai	Glaistyti varškės sūreliai,6.7,0.39,0.46,40
"Pienas AUGA EKO, 2,5% riebumo, 1 l",4.8,4.8,1.6,nan,55.0,https://www.barbora.lt/produktai/pienas-auga-eko-2-5-proc-riebumo-1-l,2.5,Pieno gaminiai ir kiaušiniai	Pienas	Ilgo galiojimo pienas,3.2,1.39,0.1,1000
"VILKYŠKIŲ kefyras, 2,5% rieb., 500 g",4.6,3.4,1.6,nan,54.0,https://www.barbora.lt/produktai/vilkyskiu-kefyras-2-5-proc-rieb-500-g,2.5,"Pieno gaminiai ir kiaušiniai	Kefyras, rūgpienis ir pasukos	Kefyras ir kefyro gėrimai",3.3,0.62,0.11,500
"Tepamasis sūris PHILADELPHIA LIGHT, 11% rieb. s. m., 125 g",4.1,4.1,nan,nan,160.0,https://www.barbora.lt/produktai/tepamasis-suris-philadelphia-light-11-proc-rieb-s-m-125-g,12.0,Pieno gaminiai ir kiaušiniai	Sūris	Tepami sūriai,8.3,1.59,nan,125
"Tepamasis sūris PHILADELPHIA su žolelėmis, 19,9% rieb. s. m., 125 g",3.3,3.2,nan,nan,230.0,https://www.barbora.lt/produktai/tepamasis-suris-philadelphia-su-zolelemis-19-9-proc-rieb-s-m-125-g,21.5,Pieno gaminiai ir kiaušiniai	Sūris	Tepami sūriai,5.5,1.59,nan,125
"Jogurtas VILKYŠKIŲ su šilauogėmis, 3,5 % rieb, 200 g",15.5,13.8,2.3,nan,105.0,https://www.barbora.lt/produktai/jogurtas-vilkyskiu-su-silauogemis-3-5-proc-rieb-200-g,3.5,Pieno gaminiai ir kiaušiniai	Jogurtai ir desertai	Jogurtai su pagardais,3.2,0.59,0.1,200
"SENOLIŲ varškė, 9% rieb., 200 g",2.7,2.6,6.4,nan,163.0,https://www.barbora.lt/produktai/senoliu-varske-9-proc-rieb-200-g,9.0,Pieno gaminiai ir kiaušiniai	Varškės produktai	Varškė,17.9,0.99,0.2,200
"Šaltibarščių kefyras ŽALOJI KARVUTĖ, 5% rieb., 1 kg",4.2,4.2,3.5,nan,73.0,https://www.barbora.lt/produktai/saltibarsciu-kefyras-zaloji-karvute-5-proc-rieb-1-kg,5.0,"Pieno gaminiai ir kiaušiniai	Kefyras, rūgpienis ir pasukos	Kefyras ir kefyro gėrimai",2.8,1.35,0.2,1000
"Saldintas sutirštintas ROKIŠKIO pienas, 8% rieb., 397 g",56.4,45.0,5.44,nan,325.0,https://www.barbora.lt/produktai/saldintas-sutirstintas-rokiskio-pienas-8-proc-rieb-397-g,8.0,Pieno gaminiai ir kiaušiniai	Pienas	Sutirštintas pienas,6.9,1.48,0.38,397
"DVARO šaltibarščių rūgpienis, 6% rieb., 1 kg",3.7,3.1,4.3,nan,81.0,https://www.barbora.lt/produktai/dvaro-saltibarsciu-rugpienis-6-proc-rieb-1-kg,6.0,"Pieno gaminiai ir kiaušiniai	Kefyras, rūgpienis ir pasukos	Rūgpienis",3.0,1.59,0.1,1000
"Ekologiškas pienas DOBILAS, 2,5% rieb., 1 l",4.8,4.8,1.5,nan,55.0,https://www.barbora.lt/produktai/ekologiskas-pienas-dobilas-2-5-proc-rieb-1-l,2.6,Pieno gaminiai ir kiaušiniai	Pienas	Pasterizuotas pienas,3.2,1.39,0.1,1000
"Pomidorų sultys DON SIMON PREMIUM, 1 l",3.3,3.3,0.0,nan,17.0,https://www.barbora.lt/produktai/pomidoru-sultys-don-simon-premium-1-l,0.0,"Gėrimai	Sultys, nektarai ir sulčių gėrimai	Sultys",0.9,2.49,0.45,1000
"RAUDONŲ PLYTŲ alus KETURI VĖJAI, (4,9%), 330 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/raudonu-plytu-alus-keturi-vejai-4-9-proc-330-ml,nan,Gėrimai	Alus ir sidras	Mažųjų daryklų alus,nan,1.49,nan,330
"Putojantis vynas ALITA BRIUTAS (11%), 750 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/putojantis-vynas-alita-briutas-11-proc-750-ml,nan,Gėrimai	Vynas	Putojantis vynas,nan,4.5,nan,750
"Putojantis sausas vynas ALITA BRUT CUVEE (11%), 750 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/putojantis-sausas-vynas-alita-brut-cuvee-11-proc-750-ml-br00474,nan,Gėrimai	Vynas	Putojantis vynas,nan,5.0,nan,750
"Rūšinis putojantis saldus vynas MARTINI ASTI pkr (7,5%), 750 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/rusinis-putojantis-saldus-vynas-martini-asti-pkr-7-5-proc-750-ml,nan,Gėrimai	Vynas	Putojantis vynas,nan,7.49,nan,750
"Negazuotas persikų skonio gaivusis arbatos gėrimas  FUZETEA, 500 ml",4.4,4.4,0.0,0.61,19.0,https://www.barbora.lt/produktai/negazuotas-persiku-skonio-gaivusis-arbatos-gerimas-fuzetea-500-ml,0.0,Gėrimai	Gaivieji gėrimai	Šaltoji arbata,0.0,0.87,0.03,500
"Persikų nektaras DON SIMON PREMIUM, 1 l",11.3,11.3,0.0,nan,46.0,https://www.barbora.lt/produktai/persiku-nektaras-don-simon-premium-1-l,0.0,"Gėrimai	Sultys, nektarai ir sulčių gėrimai	Nektarai",0.2,2.49,0.01,1000
"Putojantis pusiau sausas vynas ALITA RIESLING (11%), 750 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/putojantis-pusiau-sausas-vynas-alita-riesling-11-proc-750-ml,nan,Gėrimai	Vynas	Putojantis vynas,nan,5.0,nan,750
"Negazuotas žaliųjų obuolių skonio gėrimas KUBUS WATERRR, 500 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/negazuotas-zaliuju-obuoliu-skonio-gerimas-kubus-waterrr-500-ml,nan,Gėrimai	Gaivieji gėrimai	Kiti gėrimai,nan,0.85,nan,500
"Sidras SOMERSBY ORCHARD ROSE (4,5%), 330 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/sidras-somersby-orchard-rose-4-5-proc-330-ml-br00837,nan,Gėrimai	Alus ir sidras	Sidras,nan,1.39,nan,330
"Negazuotas aviečių skonio gėrimas KUBUS WATERRR, 500 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/negazuotas-avieciu-skonio-gerimas-kubus-waterrr-500-ml-768736,nan,Gėrimai	Gaivieji gėrimai	Kiti gėrimai,nan,0.85,nan,500
"Negazuotas alavijų, abrikosų skonio gėrimas VICHY FRESH, 1,5 l",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/negazuotas-alaviju-abrikosu-skonio-gerimas-vichy-fresh-1-5-l,nan,Gėrimai	Gaivieji gėrimai	Negazuoti vaisvandeniai,nan,0.89,nan,1500
"Putojantis saldus vynas ALITA SALDUS (11%), 750 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/putojantis-saldus-vynas-alita-saldus-11-proc-750-ml,nan,Gėrimai	Vynas	Putojantis vynas,nan,4.5,nan,750
"Putojantis pusiau saldus vynas ALITA CLASSIC (11%), 750 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/putojantis-pusiau-saldus-vynas-alita-classic-11-proc-750-ml,nan,Gėrimai	Vynas	Putojantis vynas,nan,4.29,nan,750
"Negazuotas citrinos skonio gėrimas VICHY VIVA FRESH, 1,5 l",5.5,5.3,0.0,nan,23.0,https://www.barbora.lt/produktai/negazuotas-citrinos-skonio-gerimas-vichy-viva-fresh-1-5-l,0.0,Gėrimai	Gaivieji gėrimai	Negazuoti vaisvandeniai,0.0,0.85,0.0,1500
"Negazuotas braškių skonio gėrimas KUBUS WATERRR, 500 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/negazuotas-braskiu-skonio-gerimas-kubus-waterrr-500-ml,nan,Gėrimai	Gaivieji gėrimai	Kiti gėrimai,nan,0.85,nan,500
"Putojantis pusiau sausas vynas ALITA PUSIAU SAUSAS (11%), 750 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/putojantis-pusiau-sausas-vynas-alita-11-proc-750-ml,nan,Gėrimai	Vynas	Putojantis vynas,nan,4.5,nan,750
"Gazuotas natūralus mineralinis vanduo TICHĖ, 1,5 l",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/gazuotas-naturalus-mineralinis-vanduo-tiche-1-5-l,nan,Gėrimai	Vanduo	Gazuotas vanduo,nan,0.67,nan,1500
"Obuolių ir vyšnių sultys MR. FRUCT, 3 l",12.14,8.6,0.1,nan,48.0,https://www.barbora.lt/produktai/obuoliu-ir-vysniu-sultys-mr-fruct-3-l,0.1,"Gėrimai	Sultys, nektarai ir sulčių gėrimai	Sultys",0.1,4.89,0.02,3000
"Įvairių vaisių nektaras MAXIMA FAVORIT, 1 l",11.5,11.5,0.01,0.59,47.0,https://www.barbora.lt/produktai/ivairiu-vaisiu-nektaras-maxima-favorit-1-l,0.01,"Gėrimai	Sultys, nektarai ir sulčių gėrimai	Nektarai",0.1,0.85,0.01,1000
"Natūraliai rauginta SMETONIŠKA gira, 500 ml",6.9,6.3,0.0,nan,28.0,https://www.barbora.lt/produktai/naturaliai-rauginta-smetoniska-gira-500-ml-1037836,0.0,Gėrimai	Gaivieji gėrimai	Gira,0.15,0.59,0.0,500
"Degtinė FINLANDIA (40%), 1 l",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/degtine-finlandia-40-proc-1-l-br00840,nan,Gėrimai	Stiprieji alkoholiniai gėrimai	Degtinė,nan,17.99,nan,1000
"Putojantis rausvasis pusiau sausas vynas ALITA ROSE (11%), 750 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/putojantis-rausvasis-pusiau-sausas-vynas-alita-rose-11-proc-750-ml,nan,Gėrimai	Vynas	Putojantis vynas,nan,5.0,nan,750
"Brendis IMPERIAL XII V.S.O.P. (36%), 700 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/brendis-imperial-xii-v-s-o-p-36-proc-700-ml,nan,Gėrimai	Stiprieji alkoholiniai gėrimai	Brendis,nan,12.49,nan,700
"Ananasų nektaras DON SIMON PREMIUM, 1 l",11.8,11.8,0.0,nan,48.0,https://www.barbora.lt/produktai/ananasu-nektaras-don-simon-premium-1-l,0.0,"Gėrimai	Sultys, nektarai ir sulčių gėrimai	Nektarai",0.2,2.49,0.01,1000
"Baltasis pusiau sausas vynas MARANI TELAVURI (12%), 750 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/baltasis-pusiau-sausas-vynas-marani-telavuri-12-proc-750-ml,nan,Gėrimai	Vynas	Baltas vynas,nan,5.49,nan,750
"Putojantis sausas vynas ALITA SAUSAS (11%), 750 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/putojantis-sausas-vynas-alita-sausas-11-proc-750-ml,nan,Gėrimai	Vynas	Putojantis vynas,nan,4.5,nan,750
"Raudonasis pusiau sausas vynas MARANI TELAVURI (12%), 750 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/00000000000br00162,nan,Gėrimai	Vynas	Raudonas ir rausvas vynas,nan,5.49,nan,750
"Putojantis nealkoholinis baltasis pus. sausas vyno gėrimas BOSCA ANNIVERSARY (0%), 750 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/putojantis-nealkoholinis-baltasis-pus-sausas-vyno-gerimas-bosca-anniversary-0-proc-750-ml,nan,Gėrimai	Nealkoholiniai gėrimai	Nealkoholinis vynas,nan,3.99,nan,750
"Baltasis nealkoholinis sausas vynas DR. ZENZEN RIESLING (0%), 750 ml",5.4,4.9,0.0,nan,25.0,https://www.barbora.lt/produktai/baltasis-nealkoholinis-sausas-vynas-dr-zenzen-riesling-0-proc-750-ml,0.0,Gėrimai	Nealkoholiniai gėrimai	Nealkoholinis vynas,0.0,5.99,0.0,750
"Putojantis saldus vynas ALITA MUSKATAS (11%), 750 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/putojantis-saldus-vynas-alita-muskatas-11-proc-750-ml,nan,Gėrimai	Vynas	Putojantis vynas,nan,5.0,nan,750
"Negazuotas kinrožių skonio gėrimas VICHY FRESH KAKĖ MAKĖ, 500 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/negazuotas-kinroziu-skonio-gerimas-vichy-fresh-kake-make-500-ml,nan,Gėrimai	Gaivieji gėrimai	Negazuoti vaisvandeniai,nan,0.69,nan,500
"Negazuotas citrinų skonio gėrimas KUBUS WATERRR, 500 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/negazuotas-citrinu-skonio-gerimas-kubus-waterrr-500-ml,nan,Gėrimai	Gaivieji gėrimai	Kiti gėrimai,nan,0.85,nan,500
"Putojantis pusiau sausas vynas ALITA CHARDONNAY (11%), 750 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/putojantis-pusiau-sausas-vynas-alita-chardonnay-11-proc-750-ml,nan,Gėrimai	Vynas	Putojantis vynas,nan,5.0,nan,750
"Sidras SOMERSBY ORCHARD SECCO (4,5%), 330 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/sidras-somersby-orchard-secco-4-5-proc-330-ml-br00838,nan,Gėrimai	Alus ir sidras	Sidras,nan,1.39,nan,330
"Apelsinų nektaras DON SIMON PREMIUM,, 1 l",10.4,10.4,0.0,nan,45.0,https://www.barbora.lt/produktai/apelsinu-nektaras-don-simon-premium-1-l,0.0,"Gėrimai	Sultys, nektarai ir sulčių gėrimai	Nektarai",0.3,2.49,0.01,1000
"Mangų skonio alavijų gėrimas ALEO MANGO, 1,5 l",8.9,8.9,0.0,nan,36.0,https://www.barbora.lt/produktai/mangu-skonio-alaviju-gerimas-aleo-mango-1-5-l,0.0,Gėrimai	Gaivieji gėrimai	Negazuoti vaisvandeniai,0.0,2.08,0.08,1500
"Negazuotas braškių skonio gėrimas VICHY VIVA FRESH, 1,5 l",5.3,5.2,0.0,nan,22.0,https://www.barbora.lt/produktai/negazuotas-braskiu-skonio-gerimas-vichy-viva-fresh-1-5-l,0.0,Gėrimai	Gaivieji gėrimai	Negazuoti vaisvandeniai,0.0,0.85,0.0,1500
"Kriaušių skonio sidras SOMERSBY PEAR CIDER (4,5%), 330 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/kriausiu-skonio-sidras-somersby-pear-cider-4-5-proc-330-ml,nan,Gėrimai	Alus ir sidras	Sidras,nan,1.39,nan,330
"Nepasterizuotas kivių glotnutis SUN 365, 250 ml",14.3,11.7,0.0,nan,67.0,https://www.barbora.lt/produktai/nepasterizuotas-kiviu-glotnutis-sun-365-250-ml,0.4,"Gėrimai	Sultys, nektarai ir sulčių gėrimai	Vaisių tyrės ir kokteiliai",0.9,1.99,0.0,250
"RAUDONŲ PLYTŲ amerikietiškas IPA BOCMANO ŪSAI (6%), 330 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/raudonu-plytu-amerikietiskas-ipa-bocmano-usai-6-proc-330-ml,nan,Gėrimai	Alus ir sidras	Mažųjų daryklų alus,nan,1.49,nan,330
"RAUDONŲ PLYTŲ nefiltruotas lageris UNGURIO KOJOS (5,3%), 330 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/raudonu-plytu-nefiltruotas-lageris-ungurio-kojos-5-3-proc-330-ml,nan,Gėrimai	Alus ir sidras	Mažųjų daryklų alus,nan,1.49,nan,330
"Gazuotas stalo vanduo VICHY CLASSIQUE, 500 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/gazuotas-stalo-vanduo-vichy-classique-500-ml-1037672,nan,Gėrimai	Vanduo	Gazuotas vanduo,nan,0.4,nan,500
"Negazuotas vanduo VICHY CLASSIQUE, 500 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/negazuotas-vanduo-vichy-classique-500-ml,nan,Gėrimai	Vanduo	Negazuotas vanduo,nan,0.39,nan,500
"Gaivusis gazuotas gėrimas SANPELLEGRINO ARANCIATA, 330 ml",10.3,9.7,0.0,0.72,43.0,https://www.barbora.lt/produktai/gaivusis-gazuotas-gerimas-sanpellegrino-aranciata-330-ml,0.0,Gėrimai	Gaivieji gėrimai	Gazuoti vaisvandeniai,0.0,0.99,0.0,330
"RAUDONŲ PLYTŲ kvietinis alus BĖGANTI KOPA (4,5%), 330 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/raudonu-plytu-kvietinis-alus-beganti-kopa-4-5-proc-330-ml,nan,Gėrimai	Alus ir sidras	Mažųjų daryklų alus,nan,1.49,nan,330
"Energinis gėrimas RED BULL, 250 ml",11.0,11.0,0.0,nan,46.0,https://www.barbora.lt/produktai/energinis-gerimas-red-bull-250-ml,0.0,Gėrimai	Gaivieji gėrimai	Energiniai gėrimai,0.0,1.39,0.1,250
"Brendis TORRES 5 (38%), 700 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/brendis-torres-5-38-proc-700-ml,nan,Gėrimai	Stiprieji alkoholiniai gėrimai	Brendis,nan,12.99,nan,700
"Gaivusis gazuotas gėrimas SANPELLEGRINO ARANCIATA ROSSA, 330 ml",12.1,11.8,0.0,0.72,50.0,https://www.barbora.lt/produktai/gaivusis-gazuotas-gerimas-sanpellegrino-aranciata-rossa-330-ml,0.0,Gėrimai	Gaivieji gėrimai	Gazuoti vaisvandeniai,0.0,0.99,0.0,330
"Nepasterizuotas mangų glotnutis SUN 365, 250 ml",14.4,12.8,0.0,nan,65.0,https://www.barbora.lt/produktai/nepasterizuotas-mangu-glotnutis-sun-365-250-ml,0.2,"Gėrimai	Sultys, nektarai ir sulčių gėrimai	Vaisių tyrės ir kokteiliai",0.8,1.99,0.01,250
"Nealkoholinis stout stiliaus alus ŠVYTURYS GO JUODAS (0,5%), 500 ml",nan,nan,nan,0.69,nan,https://www.barbora.lt/produktai/nealkoholinis-stout-stiliaus-alus-svyturys-go-juodas-0-5-proc-500-ml,nan,Gėrimai	Nealkoholiniai gėrimai	Nealkoholinis alus,nan,0.99,nan,500
"Nepasterizuotos melionų, mangų ir ananasų sultys SUN 365, 500 ml",10.5,10.4,0.0,nan,46.0,https://www.barbora.lt/produktai/nepasterizuotos-melionu-mangu-ir-ananasu-sultys-sun-365-500-ml,0.0,"Gėrimai	Sultys, nektarai ir sulčių gėrimai	Sultys",0.6,2.89,0.02,500
"Kriaušių sidras SOMERSBY (4.5%), 500 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/kriausiu-sidras-somersby-4-5-proc-500-ml,nan,Gėrimai	Alus ir sidras	Sidras,nan,1.49,nan,500
"Gazuotas vanduo NORTE su kalciu, 1,5 l",nan,nan,nan,0.31,nan,https://www.barbora.lt/produktai/gazuotas-vanduo-norte-su-kalciu-1-5-l,nan,Gėrimai	Vanduo	Gazuotas vanduo,nan,0.61,nan,1500
"Negazuotas citrinų skonio gaivusis arbatos gėrimas  FUZETEA, 1,5 l",4.5,4.5,0.0,0.96,19.0,https://www.barbora.lt/produktai/negazuotas-citrinu-skonio-gaivusis-arbatos-gerimas-fuzetea-1-5-l,0.0,Gėrimai	Gaivieji gėrimai	Šaltoji arbata,0.0,1.37,0.02,1500
"Silpnai gazuotas vanduo NORTE su selenu, 1,5 l",nan,nan,nan,0.31,nan,https://www.barbora.lt/produktai/silpnai-gazuotas-vanduo-norte-su-selenu-1-5-l,nan,Gėrimai	Vanduo	Gazuotas vanduo,nan,0.61,nan,1500
"Šviesusis alus CARLSBERG (5%, 4 vnt. x 500 ml), 2 l skard.",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/sviesusis-alus-carlsberg-5-proc-4-vnt-x-500-ml-2-l-skard,nan,Gėrimai	Alus ir sidras	Alaus pakuotės,nan,4.39,nan,2000
"UTENOS nealkoholinis alaus kokteilis RADLER (0%), 500 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/utenos-nealkoholinis-alaus-kokteilis-radler-0-proc-500-ml,nan,Gėrimai	Nealkoholiniai gėrimai	Nealkoholinis alus,nan,0.99,nan,500
"Gazuotas mineralinis vanduo SAN PELLEGRINO, 1 l",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/gazuotas-mineralinis-vanduo-san-pellegrino-1-l,nan,Gėrimai	Vanduo	Gazuotas vanduo,nan,1.39,nan,1000
"Aromatizuotas vynas CINZANO BIANCO (15%), 1000 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/aromatizuotas-vynas-cinzano-bianco-15-proc-1000-ml,nan,Gėrimai	Vynas	Vermutas,nan,10.99,nan,1000
"Sausas šampanas VEUVE CLICQUOT YELLOW LABEL BRUT su SKVN (12%), 750 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/sampanas-veuve-clicquot-brut-yellow-label-briutas-750-ml,nan,Gėrimai	Vynas	Šampanas,nan,39.99,nan,750
"Degtinė ABSOLUT VODKA (40%), 700 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/degtine-absolut-vodka-40-proc-700-ml,nan,Gėrimai	Stiprieji alkoholiniai gėrimai	Degtinė,nan,15.79,nan,700
"Putoj. rausv. saldus vynas GANCIA MOSCATO ROSE su SKVN (7%), 750 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/putoj-rausv-saldus-vynas-gancia-moscato-rose-su-skvn-7-proc-750-ml,nan,Gėrimai	Vynas	Putojantis vynas,nan,5.99,nan,750
"Brendis TORRES 10 (38%), 500 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/brendis-torres-10-38-proc-500-ml,nan,Gėrimai	Stiprieji alkoholiniai gėrimai	Brendis,nan,10.59,nan,500
"Gaz. imb. alaus sk.gaiv.gėrimas FENTIMANS GINGER BEER & LIME, 500 ml",9.2,7.8,0.0,nan,41.0,https://www.barbora.lt/produktai/gaz-imb-alaus-sk-gaiv-gerimas-fentimans-ginger-beer-lime-500-ml,0.0,Gėrimai	Gaivieji gėrimai	Gazuoti vaisvandeniai,0.02,2.99,0.01,500
"Energinis gėrimas BATTERY+, 330 ml",nan,nan,nan,nan,nan,https://www.barbora.lt/produktai/energinis-gerimas-battery-330-ml,nan,Gėrimai	Gaivieji gėrimai	Energiniai gėrimai,nan,1.19,nan,330
"Granatų ir malpigijų nektaras MARLI, 200 ml",5.5,5.5,0.1,nan,29.0,https://www.barbora.lt/produktai/granatu-ir-malpigiju-nektaras-marli-200-ml,0.5,"Gėrimai	Sultys, nektarai ir sulčių gėrimai	Nektarai",0.1,1.39,0.0,200
"Imbierų ir malpigijų nektaras MARLI, 200 ml",7.5,6.8,0.1,nan,32.0,https://www.barbora.lt/produktai/imbieru-ir-malpigiju-nektaras-marli-200-ml,0.1,"Gėrimai	Sultys, nektarai ir sulčių gėrimai	Nektarai",0.2,1.39,0.0,200
"Apels.,vyn. ir ž.citrinų sultys HOHES C PLUS su magniu,vit.B, 1 l",9.5,9.4,0.1,nan,45.0,https://www.barbora.lt/produktai/apels-vyn-ir-z-citrinu-sultys-hohes-c-plus-su-magniu-vit-b-1-l,0.5,"Gėrimai	Sultys, nektarai ir sulčių gėrimai	Sultys",0.5,2.29,0.0,1000
"Mėlynių ir aviečių vaisių kokteilis, 250 ml",12.6,12.5,0.0,nan,59.0,https://www.barbora.lt/produktai/melyniu-ir-avieciu-vaisiu-kokteilis-250-ml,0.01,"Gėrimai	Sultys, nektarai ir sulčių gėrimai	Vaisių tyrės ir kokteiliai",0.5,2.28,0.01,250
